日期,最高气温
2011-01-01,0
2011-01-02,-2
2011-01-03,1
2011-01-04,-1
2011-01-05,-1
2011-01-06,0
2011-01-07,1
2011-01-08,1
2011-01-09,-1
2011-01-10,-1
2011-01-11,-1
2011-01-12,0
2011-01-13,1
2011-01-14,-1
2011-01-15,3
2011-01-16,-1
2011-01-17,-1
2011-01-18,-1
2011-01-19,0
2011-01-20,0
2011-01-21,1
2011-01-22,0
2011-01-23,-1
2011-01-24,0
2011-01-25,0
2011-01-26,0
2011-01-27,2
2011-01-28,4
2011-01-29,-1
2011-01-30,3
2011-01-31,4
2011-02-01,4
2011-02-02,9
2011-02-03,0
2011-02-04,2
2011-02-05,1
2011-02-06,9
2011-02-07,8
2011-02-08,-2
2011-02-09,0
2011-02-10,0
2011-02-11,1
2011-02-12,-3
2011-02-13,10
2011-02-14,1
2011-02-15,4
2011-02-16,5
2011-02-17,9
2011-02-18,3
2011-02-19,10
2011-02-20,10
2011-02-21,10
2011-02-22,9
2011-02-23,9
2011-02-24,10
2011-02-25,7
2011-02-26,2
2011-02-27,2
2011-02-28,6
2011-03-01,5
2011-03-02,6
2011-03-03,9
2011-03-04,11
2011-03-05,13
2011-03-06,10
2011-03-07,10
2011-03-08,10
2011-03-09,11
2011-03-10,15
2011-03-11,17
2011-03-12,19
2011-03-13,17
2011-03-14,9
2011-03-15,9
2011-03-16,13
2011-03-17,16
2011-03-18,14
2011-03-19,13
2011-03-20,11
2011-03-21,8
2011-03-22,10
2011-03-23,11
2011-03-24,12
2011-03-25,12
2011-03-26,15
2011-03-27,16
2011-03-28,17
2011-03-29,19
2011-03-30,22
2011-03-31,22
2011-04-01,10
2011-04-02,13
2011-04-03,16
2011-04-04,20
2011-04-05,19
2011-04-06,19
2011-04-07,19
2011-04-08,20
2011-04-09,21
2011-04-10,16
2011-04-11,22
2011-04-12,26
2011-04-13,26
2011-04-14,28
2011-04-15,25
2011-04-16,25
2011-04-17,19
2011-04-18,21
2011-04-19,24
2011-04-20,25
2011-04-21,17
2011-04-22,20
2011-04-23,18
2011-04-24,22
2011-04-25,18
2011-04-26,17
2011-04-27,23
2011-04-28,24
2011-04-29,22
2011-04-30,21
2011-05-01,25
2011-05-02,25
2011-05-03,24
2011-05-04,19
2011-05-05,23
2011-05-06,26
2011-05-07,26
2011-05-08,19
2011-05-09,26
2011-05-10,26
2011-05-11,28
2011-05-12,23
2011-05-13,27
2011-05-14,30
2011-05-15,26
2011-05-16,28
2011-05-17,29
2011-05-18,31
2011-05-19,25
2011-05-20,23
2011-05-21,26
2011-05-22,29
2011-05-23,31
2011-05-24,28
2011-05-25,27
2011-05-26,28
2011-05-27,29
2011-05-28,33
2011-05-29,28
2011-05-30,30
2011-05-31,29
2011-06-01,32
2011-06-02,35
2011-06-03,33
2011-06-04,31
2011-06-05,33
2011-06-06,33
2011-06-07,36
2011-06-08,34
2011-06-09,34
2011-06-10,31
2011-06-11,29
2011-06-12,35
2011-06-13,35
2011-06-14,33
2011-06-15,32
2011-06-16,27
2011-06-17,29
2011-06-18,33
2011-06-19,34
2011-06-20,34
2011-06-21,34
2011-06-22,32
2011-06-23,28
2011-06-24,26
2011-06-25,29
2011-06-26,32
2011-06-27,32
2011-06-28,32
2011-06-29,32
2011-06-30,31
2011-07-01,29
2011-07-02,28
2011-07-03,33
2011-07-04,35
2011-07-05,35
2011-07-06,32
2011-07-07,33
2011-07-08,33
2011-07-09,35
2011-07-10,34
2011-07-11,33
2011-07-12,31
2011-07-13,32
2011-07-14,32
2011-07-15,32
2011-07-16,31
2011-07-17,30
2011-07-18,28
2011-07-19,29
2011-07-20,29
2011-07-21,29
2011-07-22,32
2011-07-23,34
2011-07-24,31
2011-07-25,30
2011-07-26,35
2011-07-27,33
2011-07-28,32
2011-07-29,30
2011-07-30,33
2011-07-31,35
2011-08-01,35
2011-08-02,32
2011-08-03,34
2011-08-04,33
2011-08-05,31
2011-08-06,31
2011-08-07,32
2011-08-08,34
2011-08-09,35
2011-08-10,32
2011-08-11,33
2011-08-12,33
2011-08-13,33
2011-08-14,30
2011-08-15,27
2011-08-16,32
2011-08-17,31
2011-08-18,29
2011-08-19,30
2011-08-20,31
2011-08-21,31
2011-08-22,30
2011-08-23,30
2011-08-24,29
2011-08-25,27
2011-08-26,28
2011-08-27,28
2011-08-28,30
2011-08-29,32
2011-08-30,31
2011-08-31,31
2011-09-01,28
2011-09-02,29
2011-09-03,26
2011-09-04,29
2011-09-05,30
2011-09-06,29
2011-09-07,26
2011-09-08,24
2011-09-09,24
2011-09-10,19
2011-09-11,25
2011-09-12,24
2011-09-13,24
2011-09-14,24
2011-09-15,25
2011-09-16,21
2011-09-17,20
2011-09-18,21
2011-09-19,22
2011-09-20,24
2011-09-21,27
2011-09-22,28
2011-09-23,28
2011-09-24,28
2011-09-25,27
2011-09-26,26
2011-09-27,25
2011-09-28,22
2011-09-29,22
2011-09-30,21
